timestamp,avg_rtt_us,p95_rtt_us,min_rtt_us,max_rtt_us,avg_cwnd,throughput_bps,retrans_count,rolling_avg_rtt,rolling_p95_rtt,rolling_std_rtt,target_next_avg_rtt
1766461872,158877,386098,1835,386277,229,20360,0,153261,379543,52962,139985
1766461872,139985,385853,1753,385986,201,23940,0,145705,379552,48271,122502
1766461872,122502,386625,1761,386625,174,12540,0,133665,379645,34340,46641
1766461872,46641,387528,35,389177,72,381380,0,121516,379427,41530,107385
1766461872,107385,388040,1766,388618,152,28320,0,120939,379306,41699,141897
1766461872,141897,386828,1833,386828,203,20700,0,127876,387473,38390,52677
1766461872,52677,241457,1879,386828,70,7720,0,116547,372514,42408,209185
1766461872,209185,404169,1668,405102,290,646560,0,125333,374072,51610,161397
1766461873,161397,397343,1647,397765,229,14940,0,131794,375088,51683,104884
1766461873,104884,395838,1661,395838,147,78340,0,124543,375977,49620,293427
1766461873,293427,396017,1735,399006,421,25960,0,137998,376969,72795,159027
1766461873,159027,386450,1597,386568,229,32200,0,139902,377029,73101,126468
1766461873,126468,386265,1654,386265,183,22320,0,140298,376993,73006,86000
1766461873,86000,386370,1868,386730,119,9940,0,144234,376877,68306,186052
1766461873,186052,387436,1367,387460,268,645320,0,152101,376817,68120,126458
1766461873,126458,387285,1340,387460,166,22040,0,150557,376863,68551,111196
1766461873,111196,387176,1340,387334,162,79120,1,156409,391434,61390,147392
1766461873,147392,389297,1388,390179,201,112140,0,150230,389947,58531,150055
1766461873,150055,388005,1434,388546,215,18200,0,149095,389013,58401,127010
1766461873,127010,386586,1515,386586,184,29580,0,151308,388088,56940,147567
1766461873,147567,387554,1670,387554,178,15700,0,136722,387242,27627,149190
1766461873,149190,387311,36,387709,215,625540,0,135738,387328,26910,45589
1766461873,45589,386154,33,386764,64,448440,0,127650,387317,39305,168818
1766461873,168818,390894,1649,391721,240,26340,0,135932,387769,38265,97971
1766461873,97971,389513,1710,389845,138,21320,0,127124,387977,35483,104417
1766461873,104417,332878,1707,388918,147,4420,0,124920,382536,36206,153745
1766461874,153745,403872,1387,404704,213,42320,0,129175,384206,36908,157844
1766461874,157844,399162,1465,399162,223,70040,0,130220,385192,37622,267409
1766461874,267409,393379,1608,394314,384,590700,0,141956,385730,57531,197052
1766461874,197052,387110,1635,387209,284,95940,0,148960,385782,59731,119134
1766461874,119134,385997,1688,385997,171,23360,0,146116,385627,60477,142887
1766461874,142887,385939,1725,385939,205,20540,0,145486,385489,60474,84674
1766461874,84674,386275,1737,386275,119,12180,0,149395,385501,54242,125602
1766461874,125602,386392,1726,386709,178,29240,0,145073,385051,54244,142167
1766461874,142167,385597,1806,385725,203,49140,0,149493,384660,51722,119008
1766461874,119008,385465,1776,385547,171,47080,0,150952,389918,50501,168015
1766461874,168015,386363,1724,386363,242,642500,0,152379,388167,50789,133026
1766461874,133026,386608,1737,386746,192,14920,0,149897,386912,51098,96619
1766461874,96619,387948,1758,387948,136,14060,0,132818,386369,32680,121150
1766461874,121150,389415,1847,389415,171,18700,0,125228,386599,23678,56301
1766461874,56301,388334,36,388630,85,443160,0,118944,386833,32257,118084
1766461874,118084,387356,1810,387409,169,30080,0,116464,386975,31146,143298
1766461874,143298,388942,1801,388942,205,17020,0,122327,387242,29993,169487
1766461874,169487,388160,1761,388942,242,635720,0,126715,387418,33528,146297
1766461875,146297,388844,1775,388844,201,72460,0,127128,387743,33764,133941
1766461875,133941,387425,1782,387460,192,71360,0,128621,387939,33695,80310
1766461875,80310,387759,1899,388182,112,18040,0,119851,388079,33717,291916
1766461875,291916,387348,1945,387391,421,33680,0,135740,388153,64238,139252
1766461875,139252,388039,1922,388039,192,26820,0,140003,388162,62751,136634
1766461875,136634,390741,2024,390741,192,14200,0,141552,388294,62424,198811
1766461875,198811,390450,1953,390493,284,631720,0,155803,388506,56815,142367
1766461875,142367,388423,1906,388583,203,22660,0,158231,388613,55528,130133
1766461875,130133,387745,1899,387745,174,83240,0,156914,388493,56075,150918
1766461875,150918,387917,1897,387917,215,25740,0,155057,388469,55919,144545
1766461875,144545,388518,1763,388805,205,16920,0,154882,388436,55952,127707
1766461875,127707,388808,1638,388808,174,23480,0,154259,388574,56246,104537
1766461875,104537,388165,1606,388295,147,17500,0,156682,388615,53143,219359
1766461875,219359,389602,1627,389602,298,598120,0,149426,388840,34207,74964
1766461875,74964,388012,35,389033,109,73560,0,142997,388838,41578,72086
1766461875,72086,386860,35,387375,107,442060,0,136542,388450,47294,116677
1766461875,116677,387324,1443,387394,166,15540,0,128329,388137,42128,125467
1766461875,125467,387349,1338,387349,178,18920,0,126639,388030,41840,142725
1766461876,142725,389036,1338,389049,200,28260,0,127898,388159,42146,134443
1766461876,134443,387753,1529,387917,192,60260,0,126251,388142,41462,156066
1766461876,156066,387807,1807,387917,220,15360,0,127403,388071,42181,193023
1766461876,193023,387473,1860,387701,276,646500,0,133934,387938,47013,241256
1766461876,241256,386220,1907,386738,348,45340,0,147606,387743,56447,126918
1766461876,126918,388833,1909,389906,178,15740,0,138362,387666,50664,113164
1766461876,113164,391142,1921,391142,159,14220,0,142182,387979,46633,125552
