user_id,request_id,mode,prompt_tokens,tokens_generated,tokens_received,ttft,total_time,tokens_per_second,effective_tps,health_factor,network_rtt
1,user1_0519386f,baseline,8,49,0,0.023136138916015625,0.46514177322387695,105.34422582685528,0.0,0.6513067709357099,340
2,user2_5149bd51,baseline,9,50,1,0.022800445556640625,0.4648475646972656,107.56214251130423,2.1512428502260845,0.9771870762529412,73
1,user1_dc901f35,network_aware,8,48,0,0.023784875869750977,0.8727357387542725,54.999466469099055,0.0,0.8373717566498128,348
2,user2_ec14cf08,network_aware,9,50,50,0.02488994598388672,0.8754768371582031,57.11173371793587,57.11173371793587,0.9747384950867355,32
1,user1_bfdc1615,baseline,8,49,0,0.0259401798248291,0.8763699531555176,55.912460055901334,0.0,0.9156357805442317,327
2,user2_c22f0a49,baseline,9,49,49,0.024130821228027344,0.8723633289337158,56.169256976783274,56.169256976783274,0.9636772567213523,31
1,user1_c90c206f,network_aware,8,49,0,0.02622532844543457,0.46994996070861816,104.2664200378162,0.0,0.8029106555101876,243
2,user2_b4bfc57f,network_aware,9,50,2,0.01691722869873047,0.46045708656311035,108.58775216862037,4.343510086744814,0.9725803461095912,26
1,user1_b3687c74,baseline,8,49,0,0.026597976684570312,0.8759884834289551,55.93680844774945,0.0,0.6836832005928952,311
2,user2_e3e680fd,baseline,9,50,50,0.025182723999023438,0.871769905090332,57.3545837130258,57.3545837130258,0.9729398020401302,28
1,user1_00880158,network_aware,8,48,0,0.025933265686035156,0.8755791187286377,54.820859672507005,0.0,0.6280198636646454,321
2,user2_12a37674,network_aware,9,49,49,0.025072336196899414,0.8720650672912598,56.18846785389531,56.18846785389531,0.9703127351927507,30
